area;acertos;min;max;media;ano
CH;0;300,0;300;300;2009
CH;1;300,1;337,3;313,25;2009
CH;2;300,2;365,1;321,79;2009
CH;3;300,4;390,8;327,97;2009
CH;4;300,8;406,7;336,94;2009
CH;5;301,1;429,4;346,5;2009
CH;6;301,7;439,5;357,34;2009
CH;7;301,9;461;369,21;2009
CH;8;302,6;474,7;382,39;2009
CH;9;304,2;488,6;396,26;2009
CH;10;309,3;500,1;411,01;2009
CH;11;312,5;519,1;427,01;2009
CH;12;315,4;528,5;443,56;2009
CH;13;307,6;544,6;460,43;2009
CH;14;330,6;558,9;477,66;2009
CH;15;323,1;569,6;494,76;2009
CH;16;360,1;583,1;511,09;2009
CH;17;369,0;592,6;526,77;2009
CH;18;358,6;603,9;541,46;2009
CH;19;426,7;612,3;555,19;2009
CH;20;443,9;629,1;567,93;2009
CH;21;477,8;630,7;580,08;2009
CH;22;489,2;642,3;591,42;2009
CH;23;534,8;649,6;602,4;2009
CH;24;541,4;658,8;613,09;2009
CH;25;552,8;668,6;623,32;2009
CH;26;556,8;681,8;633,47;2009
CH;27;583,0;689,7;643,39;2009
CH;28;592,3;695;653,36;2009
CH;29;606,6;709;663,24;2009
CH;30;619,7;714,9;673,31;2009
CH;31;629,0;727,3;683,18;2009
CH;32;640,8;732,8;693,46;2009
CH;33;652,6;745,5;704,15;2009
CH;34;651,5;762,9;715,07;2009
CH;35;675,3;768,4;726,5;2009
CH;36;685,9;785,4;738,4;2009
CH;37;706,3;794,8;750,92;2009
CH;38;716,3;811,1;763,96;2009
CH;39;730,9;822,3;778,39;2009
CH;40;738,7;833,9;793,29;2009
CH;41;766,6;844,2;810,05;2009
CH;42;787,4;855,6;828,19;2009
CH;43;805,0;864,9;849,98;2009
CH;44;845,9;876;867,34;2009
CH;45;887,0;887;887;2009
CN;0;263,3;263,3;263,3;2009
CN;1;263,3;311,5;276,04;2009
CN;2;263,3;350,9;287,65;2009
CN;3;263,3;376,5;300,09;2009
CN;4;263,4;401,6;313,06;2009
CN;5;263,5;423,2;326,84;2009
CN;6;263,8;442,4;341,59;2009
CN;7;263,7;468,2;357,82;2009
CN;8;264,5;487,1;373,99;2009
CN;9;265,5;505,2;391,05;2009
CN;10;266,9;519,2;408,56;2009
CN;11;269,7;537,2;426,55;2009
CN;12;270,3;552,5;444,75;2009
CN;13;275,9;565,7;463,09;2009
CN;14;275,7;580,5;481,21;2009
CN;15;293,6;594,7;499,45;2009
CN;16;302,8;615,2;517,2;2009
CN;17;308,3;625;534,77;2009
CN;18;323,7;635,9;551,98;2009
CN;19;370,2;654,1;568,52;2009
CN;20;386,9;663,6;584,66;2009
CN;21;372,8;674;600,15;2009
CN;22;455,8;693,4;615,49;2009
CN;23;465,1;698,9;630,36;2009
CN;24;522,9;711,7;644,93;2009
CN;25;522,9;730,2;659,27;2009
CN;26;544,7;736,4;672,8;2009
CN;27;584,8;749,2;686,24;2009
CN;28;613,0;768,9;698,95;2009
CN;29;634,0;773;710,94;2009
CN;30;652,2;779,2;723,03;2009
CN;31;658,0;793;734,75;2009
CN;32;678,6;812,4;746,01;2009
CN;33;699,3;816;757,36;2009
CN;34;714,1;819,9;768,08;2009
CN;35;728,5;831,2;779,51;2009
CN;36;736,8;841,9;791,31;2009
CN;37;756,5;851,9;802,2;2009
CN;38;758,1;864,3;813,71;2009
CN;39;771,4;873,3;826,73;2009
CN;40;786,9;879,4;839,82;2009
CN;41;806,1;888,5;852,1;2009
CN;42;806,1;897,1;864,29;2009
CN;43;835,7;903,2;880,08;2009
CN;44;852,9;903,2;892,15;2009
CN;45;903,2;903,2;903,2;2009
LC;0;224,3;224,3;224,3;2009
LC;1;224,3;265,3;236,12;2009
